feature,feature_type,bin_id,bin_order,bin_label,lower_bound,upper_bound,right_closed,categories,sample_count,good_count,bad_count,default_rate,p_good,p_bad,woe,iv_component,total_iv
sex,categorical,category_0,0,1,,,,[1],7101,5396,1705,0.24010702717927052,0.38494186461231183,0.4281948280190811,-0.10648597578019109,0.0046058340137547235,0.007759773819776993
sex,categorical,category_1,1,2,,,,[2],10899,8622,2277,0.20891824938067713,0.6150581353876882,0.571805171980919,0.07291846748999097,0.0031539398060222695,0.007759773819776993
education,categorical,category_0,0,1,,,,[1],6371,5156,1215,0.19070789514989797,0.3677960057061341,0.30509538152610444,0.18690399811585337,0.01171899734360709,0.0380547922573551
education,categorical,category_1,1,2,,,,[2],8418,6407,2011,0.2388928486576384,0.45702567760342366,0.504894578313253,-0.09961007503570903,0.004768224791583007,0.0380547922573551
education,categorical,category_2,2,3,,,,[3],2926,2191,735,0.2511961722488038,0.1563124108416548,0.18461345381526104,-0.16640756206672047,0.0047095075651833055,0.0380547922573551
education,categorical,other,3,OTHER,,,,"[0, 4, 5, 6]",285,264,21,0.07368421052631578,0.018865905848787445,0.005396586345381526,1.2515897742806446,0.016858062556981697,0.0380547922573551
marital_status,categorical,category_0,0,1,,,,[1],8137,6266,1871,0.2299373233378395,0.44698455722386676,0.4698129785364629,-0.0498106510870267,0.0011370985288693715,0.002882890327979509
marital_status,categorical,category_1,1,2,,,,[2],9645,7590,2055,0.2130637636080871,0.5414244445236991,0.5160035144973014,0.04808995024071664,0.0012224912600422035,0.002882890327979509
marital_status,categorical,other,2,OTHER,,,,"[0, 3]",218,162,56,0.25688073394495414,0.01159099825243411,0.014183506966235722,-0.2018510241767229,0.0005233005390679339,0.002882890327979509
repayment_status_sep,categorical,category_0,0,-1,,,,[-1],3419,2854,565,0.16525299795261772,0.2035874759289637,0.14190715181932245,0.3609227863513227,0.022261834440704387,0.9103407608096363
repayment_status_sep,categorical,category_1,1,-2,,,,[-2],1620,1418,202,0.12469135802469136,0.10116967406033807,0.05081555834378921,0.6885964742054962,0.034673666544151105,0.9103407608096363
repayment_status_sep,categorical,category_2,2,0,,,,[0],8807,7694,1113,0.12637674577040992,0.5487839669067827,0.2794228356336261,0.674978686709668,0.18181302263738572,0.9103407608096363
repayment_status_sep,categorical,category_3,3,1,,,,[1],2269,1489,780,0.34376377258704277,0.10623350688253334,0.1958594730238394,-0.611757861298966,0.05482938936345894,0.9103407608096363
repayment_status_sep,categorical,category_4,4,2,,,,[2],1618,493,1125,0.6953028430160693,0.03519720419370943,0.28243412797992473,-2.082478694970067,0.5148656263947315,0.9103407608096363
repayment_status_sep,categorical,other,5,OTHER,,,,"[3, 4, 5, 6, 7, 8]",267,70,197,0.7378277153558053,0.005028172027672776,0.04956085319949812,-2.28814476801977,0.10189722142920468,0.9103407608096363
repayment_status_aug,categorical,category_0,0,-1,,,,[-1],3668,3075,593,0.16166848418756816,0.21935736956599267,0.148952189735224,0.38707684414575527,0.027252214820408314,0.5446930935123039
repayment_status_aug,categorical,category_1,1,-2,,,,[-2],2264,1854,410,0.18109540636042404,0.13227060375878177,0.10302421884803614,0.24988575758421744,0.0073082550500212975,0.5446930935123039
repayment_status_aug,categorical,category_2,2,0,,,,[0],9390,7903,1487,0.15835995740149095,0.5637102813737028,0.3733216212824696,0.4121001304447203,0.07845919165879273,0.5446930935123039
repayment_status_aug,categorical,category_3,3,2,,,,[2],2378,1060,1318,0.5542472666105971,0.07563924253771263,0.33090726565441086,-1.4758629422415492,0.376740615657194,0.5446930935123039
repayment_status_aug,categorical,other,4,OTHER,,,,"[1, 3, 4, 5, 6, 7, 8]",300,126,174,0.58,0.009022502763810135,0.043794704479859455,-1.5797911439278518,0.05493281632588757,0.5446930935123039
repayment_status_jul,categorical,category_0,0,-1,,,,[-1],3567,3011,556,0.15587328287075974,0.2147926250846974,0.13966620655038273,0.4304176913152313,0.03233573962232152,0.41559020769525123
repayment_status_jul,categorical,category_1,1,-2,,,,[-2],2449,2006,443,0.18089015924867294,0.143111871901858,0.11130631195884051,0.2513406775043923,0.007994030984484578,0.41559020769525123
repayment_status_jul,categorical,category_2,2,0,,,,[0],9453,7795,1658,0.17539405479741882,0.556007275061517,0.4162379219475467,0.2895243542765541,0.04046663170797393,0.41559020769525123
repayment_status_jul,categorical,category_3,3,2,,,,[2],2283,1102,1181,0.5173017958826106,0.07863485610356263,0.29652403061864724,-1.3273131997589065,0.2892071774184437,0.41559020769525123
repayment_status_jul,categorical,other,4,OTHER,,,,"[1, 3, 4, 5, 6, 7, 8]",248,104,144,0.5806451612903226,0.007453371848364894,0.036265528924582756,-1.582201146600566,0.04558662796202752,0.41559020769525123
repayment_status_jun,categorical,category_0,0,-1,,,,[-1],3427,2874,553,0.16136562591187628,0.20502121892942476,0.13891328899485506,0.3892635624617091,0.025733408313299667,0.3535292664799675
repayment_status_jun,categorical,category_1,1,-2,,,,[-2],2594,2108,486,0.18735543562066306,0.1503869334189223,0.1220981302547371,0.20838646110760972,0.005895003580354302,0.3535292664799675
repayment_status_jun,categorical,category_2,2,0,,,,[0],9852,8037,1815,0.18422655298416565,0.5732677151314147,0.4556406073534948,0.22964846723853938,0.027012885006901778,0.3535292664799675
repayment_status_jun,categorical,category_3,3,2,,,,[2],1916,918,998,0.5208768267223383,0.06551121571983881,0.25059605973145943,-1.3416209586536347,0.2483137058551289,0.3535292664799675
repayment_status_jun,categorical,other,4,OTHER,,,,"[1, 3, 4, 5, 6, 7, 8]",211,81,130,0.6161137440758294,0.005812916800399415,0.03275191366545363,-1.728878916968876,0.04657426372428288,0.3535292664799675
repayment_status_may,categorical,category_0,0,-1,,,,[-1],3300,2759,541,0.16393939393939394,0.19681894368959738,0.1359016187727444,0.3703530059855656,0.022560914399555893,0.32832649225049143
repayment_status_may,categorical,category_1,1,-2,,,,[-2],2732,2203,529,0.19363103953147878,0.1571627260083449,0.1328899485506337,0.1677604087876354,0.004072011068716932,0.32832649225049143
repayment_status_may,categorical,category_2,2,0,,,,[0],10182,8256,1926,0.18915733647613436,0.5888877001533469,0.4834985569080186,0.19718717338388583,0.02078138726189574,0.32832649225049143
repayment_status_may,categorical,category_3,3,2,,,,[2],1590,725,865,0.5440251572327044,0.05174565814343283,0.21721671476973273,-1.4345550127449664,0.23737733374746472,0.32832649225049143
repayment_status_may,categorical,other,4,OTHER,,,,"[3, 4, 5, 6, 7, 8]",196,75,121,0.6173469387755102,0.0053849720052779855,0.030493160998870623,-1.733890316978569,0.04353484577285816,0.32832649225049143
repayment_status_apr,categorical,category_0,0,-1,,,,[-1],3443,2865,578,0.16787685158292187,0.20437930173674262,0.14518760195758565,0.3419508769051159,0.020240653644987082,0.28448765134268883
repayment_status_apr,categorical,category_1,1,-2,,,,[-2],2927,2339,588,0.20088828151691152,0.16686280803109732,0.1476973271426779,0.12200687315299444,0.002338320395669529,0.28448765134268883
repayment_status_apr,categorical,category_2,2,0,,,,[0],9760,7912,1848,0.18934426229508197,0.564352198566385,0.4639227004642992,0.19596057762280006,0.019680222458452634,0.28448765134268883
repayment_status_apr,categorical,category_3,3,2,,,,[2],1689,838,851,0.5038484310242747,0.059805285118219746,0.2137030995106036,-1.2734936292924246,0.19598788619072882,0.28448765134268883
repayment_status_apr,categorical,other,4,OTHER,,,,"[3, 4, 5, 6, 7, 8]",181,64,117,0.6464088397790055,0.004600406547555365,0.029489270924833732,-1.857881820235432,0.04624056865285073,0.28448765134268883
credit_limit,numeric,bin_0,0,"(-inf, 50000]",-inf,50000.0,True,,4610,3121,1489,0.3229934924078091,0.22263827966192362,0.37382356631948804,-0.5182355481044831,0.0783495898963163,0.17493510917648636
credit_limit,numeric,bin_1,1,"(50000, 100000]",50000.0,100000.0,True,,2861,2121,740,0.258650821391122,0.1513141471416854,0.1858451499560798,-0.20555567951841883,0.0070980437479652774,0.17493510917648636
credit_limit,numeric,bin_2,2,"(100000, 180000]",100000.0,180000.0,True,,3686,2949,737,0.19994574064026044,0.21037052886844262,0.18509223240055214,0.12801614477621004,0.0032360300603294268,0.17493510917648636
credit_limit,numeric,bin_3,3,"(180000, 270000]",180000.0,270000.0,True,,3295,2739,556,0.16874051593323217,0.1953924610391926,0.13966620655038273,0.335754819809926,0.01871035853457244,0.17493510917648636
credit_limit,numeric,bin_4,4,"(270000, +inf]",270000.0,inf,True,,3548,3088,460,0.12965050732807215,0.22028458328875575,0.1155728447734973,0.6450192489876474,0.06754108693730292,0.17493510917648636
age,numeric,bin_0,0,"(-inf, 27]",-inf,27.0,True,,4025,3025,1000,0.2484472049689441,0.21579116293998074,0.2510980047684779,-0.151532218414357,0.005350124067476984,0.013485274818886311
age,numeric,bin_1,1,"(27, 31]",27.0,31.0,True,,3398,2708,690,0.20306062389640966,0.19318141293106522,0.17329652403061865,0.1086255717956618,0.002160007426904217,0.013485274818886311
age,numeric,bin_2,2,"(31, 36]",31.0,36.0,True,,3440,2756,684,0.19883720930232557,0.19660497129203666,0.1717906889195633,0.13491968284828965,0.003347935107802009,0.013485274818886311
age,numeric,bin_3,3,"(36, 43]",36.0,43.0,True,,3579,2821,758,0.21179100307348422,0.20124103990585215,0.19036265528924584,0.05557242816766281,0.0006045382476865624,0.013485274818886311
age,numeric,bin_4,4,"(43, +inf]",43.0,inf,True,,3558,2708,850,0.2388982574480045,0.19318141293106522,0.21345212699209437,-0.09978286719090791,0.002022669969016541,0.013485274818886311
bill_amount_sep,numeric,bin_0,0,"(-inf, 1837.8]",-inf,1837.8000000000002,True,,3600,2763,837,0.2325,0.19710424021967832,0.21018948425147446,-0.06427670287884894,0.0008410763427289922,0.011986779497024213
bill_amount_sep,numeric,bin_1,1,"(1837.8, 13242.6]",1837.8000000000002,13242.6,True,,3600,2835,765,0.2125,0.2022395777611355,0.19211946291881038,0.05133564190339928,0.000519522591566878,0.011986779497024213
bill_amount_sep,numeric,bin_2,2,"(13242.6, 36482.2]",13242.6,36482.20000000001,True,,3600,2700,900,0.25,0.1926108198709033,0.22600075291755553,-0.15986665503601005,0.005337936908044623,0.011986779497024213
bill_amount_sep,numeric,bin_3,3,"(36482.2, 83371]",36482.20000000001,83371.0,True,,3600,2819,781,0.21694444444444444,0.20109839164081167,0.19613502321495796,0.02499098293276057,0.00012403945561951274,0.011986779497024213
bill_amount_sep,numeric,bin_4,4,"(83371, +inf]",83371.0,inf,True,,3600,2901,699,0.19416666666666665,0.2069469705074712,0.17555527669720167,0.164508619072182,0.0051642041990642065,0.011986779497024213
bill_amount_aug,numeric,bin_0,0,"(-inf, 1473]",-inf,1473.0,True,,3612,2800,812,0.2248062015503876,0.19974323312292713,0.2039151712887439,-0.020671373006950638,8.623968998753179e-05,0.013043310677319665
bill_amount_aug,numeric,bin_1,1,"(1473, 12491.8]",1473.0,12491.800000000001,True,,3588,2842,746,0.20791527313266445,0.20273884668877715,0.18735098506713516,0.07893489819250091,0.0012146392905046024,0.013043310677319665
bill_amount_aug,numeric,bin_2,2,"(12491.8, 34424.8]",12491.800000000001,34424.80000000003,True,,3600,2682,918,0.255,0.19132698548553903,0.23051825825072156,-0.1863461406032718,0.00730314242512188,0.013043310677319665
bill_amount_aug,numeric,bin_3,3,"(34424.8, 79837.8]",34424.80000000003,79837.80000000002,True,,3600,2800,800,0.2222222222222222,0.19974323312292713,0.2009035010666332,-0.005791991239827425,6.7202617657981845e-06,0.013043310677319665
bill_amount_aug,numeric,bin_4,4,"(79837.8, +inf]",79837.80000000002,inf,True,,3600,2894,706,0.19611111111111112,0.20644770157982953,0.1773120843267662,0.15213575094153223,0.004432569009939851,0.013043310677319665
bill_amount_jul,numeric,bin_0,0,"(-inf, 1140]",-inf,1140.0,True,,3603,2788,815,0.22620038856508465,0.19888734353268428,0.20466808884427154,-0.0286510366844051,0.00016562434598548938,0.010366124939817567
bill_amount_jul,numeric,bin_1,1,"(1140, 12069.8]",1140.0,12069.800000000003,True,,3597,2853,744,0.20683903252710592,0.20352341214649977,0.1868490400301167,0.08548002739975413,0.0014253257853821205,0.010366124939817567
bill_amount_jul,numeric,bin_2,2,"(12069.8, 31119]",12069.800000000003,31119.0,True,,3601,2709,892,0.2477089697306304,0.19325273706358548,0.22399297276948174,-0.1476158291005702,0.004537745380472829,0.010366124939817567
bill_amount_jul,numeric,bin_3,3,"(31119, 76454.4]",31119.0,76454.40000000001,True,,3599,2779,820,0.2278410669630453,0.19824542634000214,0.20592295143681766,-0.037996286589566323,0.00029171744387719036,0.010366124939817567
bill_amount_jul,numeric,bin_4,4,"(76454.4, +inf]",76454.40000000001,inf,True,,3600,2889,711,0.1975,0.20609108091722833,0.17856694691931232,0.1433546277749806,0.003945711984099937,0.010366124939817567
bill_amount_jun,numeric,bin_0,0,"(-inf, 990.8]",-inf,990.8000000000002,True,,3600,2775,825,0.22916666666666666,0.1979601298099212,0.20717781402936378,-0.045511783682911554,0.0004195132502526581,0.010086632944349328
bill_amount_jun,numeric,bin_1,1,"(990.8, 11047.6]",990.8000000000002,11047.600000000002,True,,3600,2888,712,0.19777777777777777,0.2060197567847081,0.17881791943782155,0.14160399262556975,0.0038518887750704713,0.010086632944349328
bill_amount_jun,numeric,bin_2,2,"(11047.6, 28397.8]",11047.600000000002,28397.800000000017,True,,3600,2724,876,0.24333333333333335,0.19432259905138904,0.21997741247333416,-0.12400521079108108,0.0031813305461941602,0.010086632944349328
bill_amount_jun,numeric,bin_3,3,"(28397.8, 70088.2]",28397.800000000017,70088.2,True,,3600,2767,833,0.2313888888888889,0.1973895367497593,0.20918559417743757,-0.05804274806100171,0.0006846755893878383,0.010086632944349328
bill_amount_jun,numeric,bin_4,4,"(70088.2, +inf]",70088.2,inf,True,,3600,2864,736,0.20444444444444446,0.2043079776042224,0.18484125988204292,0.10013114749300252,0.0019492247834441993,0.010086632944349328
bill_amount_may,numeric,bin_0,0,"(-inf, 744.8]",-inf,744.8000000000002,True,,3600,2768,832,0.2311111111111111,0.19746086088227952,0.20893462165892834,-0.05648099604452195,0.0006480494370416936,0.01321381226404134
bill_amount_may,numeric,bin_1,1,"(744.8, 9718.8]",744.8000000000002,9718.800000000001,True,,3600,2903,697,0.19361111111111112,0.20708961877251167,0.17505333166018322,0.1680609606636388,0.00538404918819407,0.01321381226404134
bill_amount_may,numeric,bin_2,2,"(9718.8, 26418]",9718.800000000001,26418.000000000015,True,,3600,2721,879,0.24416666666666667,0.19410862665382833,0.22073033002886183,-0.1285237967563031,0.003421522393879394,0.01321381226404134
bill_amount_may,numeric,bin_3,3,"(26418, 65114.2]",26418.000000000015,65114.200000000026,True,,3600,2754,846,0.235,0.19646232302699618,0.21244823691805748,-0.07822769511336385,0.0012505411979784312,0.01321381226404134
